table,dataset,n_items,n_participants,n_categories,n_responses,density,longitudinal,construct_type,ct_primary,affect_cog,item_format,measurement_tool,construct_name,doi,license
imos_2001,item_response_warehouse,6,473,8,2838,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1991,item_response_warehouse,6,312,8,1872,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1990,item_response_warehouse,6,308,8,1848,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1998,item_response_warehouse,6,419,8,2514,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2010,item_response_warehouse,6,516,8,3096,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2008,item_response_warehouse,6,535,8,3210,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1994,item_response_warehouse,6,385,8,2310,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2012,item_response_warehouse,6,547,8,3282,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1997,item_response_warehouse,6,460,8,2760,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1995,item_response_warehouse,6,412,8,2472,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_1996,item_response_warehouse,6,424,8,2544,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
imos_2011,item_response_warehouse,6,563,8,3378,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Test,International Math Olympiad problems,na,CC0 1.0
pechorro_impulsivity_2021_bes,item_response_warehouse,7,429,5,3003,1,FALSE,"Affective/mental health, Cognitive/educational",Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Basic Empathy Scale,10.1371/journal.pone.0260621,CC BY 4.0
sned_bendall_2024,item_response_warehouse,6,801,10,4806,1,FALSE,Other,Other,other,Likert Scale/selected response,Observational rating,The Salford Nature Environments Database (SNED),10.3758/s13428-024-02556-4,CC0 1.0
rrca_mcneish_2025_bdi,item_response_warehouse,21,1040,4,21840,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Beck’s Depression Inventory,10.3758/s13428-025-02611-8,CC BY 4.0
gcbs_brotherton_2013_tipi,item_response_warehouse,10,2495,8,24950,1,FALSE,Personality,Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Ten Item Personality Inventory,10.3389/fpsyg.2013.00279,CC BY 4.0
