"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"moral_absolutism_goyal_2025_mr","item_response_warehouse_2",9,2430,10,21870,1,TRUE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Moral Relativism","10.1037/pspa0000464","CC BY-NC 4.0","8+","affective/opinion | 8+",2000,FALSE
"movac_pakpour2022","item_response_warehouse",12,6008,7,72096,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Motors of COVID-19 Vaccination Acceptance Scale (MoVac-COVID19S)","10.7910/dvn/u8zydf","CC0 1.0","6-7","affective/opinion | 6-7",2000,FALSE
"mpsycho_rogers_depression","item_response_warehouse_2",16,495,4,7920,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Quick Inventory of Depressive Symptomatology - self-report version (QIDS-SR)","10.1017/s0033291716003287","GPL-2.0","4-5","affective/opinion | 4-5",495,TRUE
"namprb_siwiak_2024_gcbs","item_response_warehouse",15,405,5,6075,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Generic Conspiracist Beliefs Scale(GCBS)","10.31234/osf.io/7u98d","CC BY 4.0","4-5","affective/opinion | 4-5",405,TRUE
"nas_rogoza_2024_study2_ngs","item_response_warehouse",13,353,7,4589,1,FALSE,"Personality, Opinion/attitude","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Narcissistic Grandiosity Scale (NGS) — Three-Factor Structure","10.1037/pas0001344","CC0 1.0","6-7","affective/opinion | 6-7",353,TRUE
"niazi_2020_mfq","item_response_warehouse_3",32,300,6,9600,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0229926","CC BY 4.0","6-7","untagged | 6-7",300,TRUE
"odachi_2022_fear_covid19","item_response_warehouse_3",7,417,5,2919,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0276803","CC BY 4.0","4-5","untagged | 4-5",417,TRUE
"ozkurt_2026_continuance_intention","item_response_warehouse_3",6,374,7,2244,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0353067","CC BY 4.0","6-7","untagged | 6-7",374,TRUE
"ozkurt_2026_paces_enjoyment","item_response_warehouse_3",8,374,7,2992,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0353067","CC BY 4.0","6-7","untagged | 6-7",374,TRUE
"pavic_2022_vaccine_conspiracy","item_response_warehouse_3",7,577,5,4039,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0264722","CC BY 4.0","4-5","untagged | 4-5",577,TRUE
