"table","replicate","seed","n_items","n_resp","n_resp_full","N_capped","OverallSD","OverallKurt","OverallRightKurt","VarColPC1","SkewColPC1","SkewColPC2","Skewness","Mean_Row_Corr","Row_Corr_Kurtosis","CorrRightKurt","Mean_Col_Kurtosis","Mean_SD_Ratio","PercentOut","intrinsicDemnsionalityProp","PercentOut_cells","OverallRightKurt_corrected","nrOut_raw","intrinsicDim_raw"
"hao_2025_self_efficacy",3,303,6,620,620,FALSE,0.993434020813347,-0.408330172228191,-1.85116142899464,3.09891391833215,0.0163722834279114,0.0426889046249359,-0.105237350763457,0.222707824557133,-0.555247129164042,-0.897700462856476,-0.27205940948466,0.94453221015878,100,0.166666666666667,0.0276881720430108,-1.0281397589986,6,1
"herrera_2018_se_d_items",1,101,8,405,405,FALSE,1.6541306413463,-0.741363535419441,-1.86921470666244,8.92566658577094,0.333360074415468,0.129560386458095,-0.459636632181365,0.197172350762374,-0.627810033644956,-0.905686227501759,-0.55007706180606,0.933643372209977,25,0.25,0.0225308641975309,-1.03276995403882,2,2
"herrera_2018_se_d_items",2,202,8,405,405,FALSE,1.6541306413463,-0.741363535419441,-1.86921470666244,8.92566658577094,0.333360074415468,0.129560386458095,-0.459636632181365,0.197172350762374,-0.627810033644956,-0.905686227501759,-0.55007706180606,0.933643372209977,25,0.25,0.0225308641975309,-1.03276995403882,2,2
"herrera_2018_se_d_items",3,303,8,405,405,FALSE,1.6541306413463,-0.741363535419441,-1.86921470666244,8.92566658577094,0.333360074415468,0.129560386458095,-0.459636632181365,0.197172350762374,-0.627810033644956,-0.905686227501759,-0.55007706180606,0.933643372209977,25,0.25,0.0225308641975309,-1.03276995403882,2,2
"imos_1994",1,101,6,363,363,FALSE,2.90981246532295,-1.62666524420297,-1.87544859261168,19.0288793546908,0.217859055900171,-0.14672190410349,0.276023555469978,0.177807621857518,-0.72785223927312,-0.714095294584591,-1.13455216315469,0.939134914859789,16.6666666666667,0.5,0.0316804407713499,0.426280115584503,1,3
"imos_1994",2,202,6,363,363,FALSE,2.90981246532295,-1.62666524420297,-1.87544859261168,19.0288793546908,0.217859055900171,-0.14672190410349,0.276023555469978,0.177807621857518,-0.72785223927312,-0.714095294584591,-1.13455216315469,0.939134914859789,16.6666666666667,0.5,0.0316804407713499,0.426280115584503,1,3
"imos_1994",3,303,6,363,363,FALSE,2.90981246532295,-1.62666524420297,-1.87544859261168,19.0288793546908,0.217859055900171,-0.14672190410349,0.276023555469978,0.177807621857518,-0.72785223927312,-0.714095294584591,-1.13455216315469,0.939134914859789,16.6666666666667,0.5,0.0316804407713499,0.426280115584503,1,3
"imos_1997",1,101,6,441,441,FALSE,2.87852701098053,-1.43911060865415,-1.9236560846945,20.5567213146769,0.275368270997911,-0.0293841305665128,0.503464794266456,0.257804364196118,-0.61396513387321,-0.902543727999437,-0.40514512766442,0.897399237018765,16.6666666666667,0.333333333333333,0.0238095238095238,-1.19759363402459,1,2
"imos_1997",2,202,6,441,441,FALSE,2.87852701098053,-1.43911060865415,-1.9236560846945,20.5567213146769,0.275368270997911,-0.0293841305665128,0.503464794266456,0.257804364196118,-0.61396513387321,-0.902543727999437,-0.40514512766442,0.897399237018765,16.6666666666667,0.333333333333333,0.0238095238095238,-1.19759363402459,1,2
"imos_1997",3,303,6,441,441,FALSE,2.87852701098053,-1.43911060865415,-1.9236560846945,20.5567213146769,0.275368270997911,-0.0293841305665128,0.503464794266456,0.257804364196118,-0.61396513387321,-0.902543727999437,-0.40514512766442,0.897399237018765,16.6666666666667,0.333333333333333,0.0238095238095238,-1.19759363402459,1,2
"imos_2001",1,101,6,441,441,FALSE,2.73339258088216,-0.845977191992163,-1.39777217392935,17.5275082780977,-0.402222286303303,0.0198531047821592,0.89240950897472,0.293829263068692,-0.688408281303238,-1.0216433113965,1.38028355316956,0.874896890978671,50,0.333333333333333,0.0752078609221466,-0.876907140616217,3,2
"imos_2001",2,202,6,441,441,FALSE,2.73339258088216,-0.845977191992163,-1.39777217392935,17.5275082780977,-0.402222286303303,0.0198531047821592,0.89240950897472,0.293829263068692,-0.688408281303238,-1.0216433113965,1.38028355316956,0.874896890978671,50,0.333333333333333,0.0752078609221466,-0.876907140616217,3,2
"imos_2001",3,303,6,441,441,FALSE,2.73339258088216,-0.845977191992163,-1.39777217392935,17.5275082780977,-0.402222286303303,0.0198531047821592,0.89240950897472,0.293829263068692,-0.688408281303238,-1.0216433113965,1.38028355316956,0.874896890978671,50,0.333333333333333,0.0752078609221466,-0.876907140616217,3,2
